model,outcome,lag_years,predictor,coef,std_err,p_value,r_squared,n_obs
wind capacity -> wind generation,wind_gen,0,wind_cap,1.9539136488475923,0.10456407064061088,6.40229315136654e-78,0.9715398847946504,225
wind capacity -> wind generation,wind_gen,1,wind_cap_lag1,2.3232584790433126,0.05712191833096638,0.0,0.980076180237011,216
wind capacity -> wind generation,wind_gen,2,wind_cap_lag2,2.751097884288317,0.17424655585565213,3.7314446069157322e-56,0.9768207762730398,207
wind capacity -> wind generation,wind_gen,3,wind_cap_lag3,3.0897195117579783,0.2098294219388547,4.460581406220175e-49,0.9755229456887415,198
solar capacity -> solar generation,solar_gen,0,solar_cap,1.0594268351066762,0.025520458557682587,0.0,0.9729785362526022,234
solar capacity -> solar generation,solar_gen,1,solar_cap_lag1,1.2965097975388562,0.03577214638735998,1.2553649738531957e-287,0.9696295323851477,225
solar capacity -> solar generation,solar_gen,2,solar_cap_lag2,1.5827749428015925,0.07594849345769716,1.87408484074877e-96,0.9485706362291052,216
solar capacity -> solar generation,solar_gen,3,solar_cap_lag3,1.910141881374025,0.15404784287156895,2.6241336555103964e-35,0.9080593583041991,207
capacity -> renewable electricity share,renew_share_elec,0,wind_cap,-0.01592890093158346,0.0218912650111311,0.46683564217395823,0.6510391955524171,225
capacity -> renewable electricity share,renew_share_elec,0,solar_cap,-0.004067217498165448,0.03611521707043738,0.9103335460116606,0.6510391955524171,225
capacity -> renewable electricity share,renew_share_elec,1,wind_cap_lag1,-0.02065084956364692,0.0219251711015957,0.3462547952350573,0.6694948667213898,216
capacity -> renewable electricity share,renew_share_elec,1,solar_cap_lag1,0.002309621250368186,0.03847422225225737,0.952131457858863,0.6694948667213898,216
capacity -> renewable electricity share,renew_share_elec,2,wind_cap_lag2,-0.02962861143086901,0.023474654725996337,0.20689365216632616,0.6880902133989302,207
capacity -> renewable electricity share,renew_share_elec,2,solar_cap_lag2,0.013707037631277195,0.04303911090888745,0.7501218924924847,0.6880902133989302,207
capacity -> renewable electricity share,renew_share_elec,3,wind_cap_lag3,-0.04318687300158133,0.025523006482847506,0.09063143687528358,0.7078606531858143,198
capacity -> renewable electricity share,renew_share_elec,3,solar_cap_lag3,0.0376873536432592,0.05371712183915412,0.4829353759457393,0.7078606531858143,198
